Kei Kusunoki
Michiharu Kusunoki
Jiro Kuwata
Henmaru Machino
Jun Maeda
Toshio Maeda
Takeshi Maekawa
Miyako Maki
Yoko Maki
Johji Manabe
Suehiro Maruo
Usune Masatoshi
Hiro Mashima
Kōsuke Masuda
Hiroshi Masumura
Sanami Matoh
Yūsei Matsui
Izumi Matsumoto
Jiro Matsumoto
Katsuji Matsumoto
Leiji Matsumoto
Nina Matsumoto
Taiyo Matsumoto
Temari Matsumoto
Tomo Matsumoto
Akemi Matsunae
Hino Matsuri
Susumu Matsushita
Tokihiko Matsuura
Seiji Matsuyama
Meimu
Yuki Midorikawa
Mitsukazu Mihara
Rei Mikamoto
Haruhiko Mikimoto
Ryoji Minagawa
Kazuka Minami
Haruka Minami
Maki Minami
Yū Minamoto
Suu Minazuki
Nobuaki Minegishi
Kazuya Minekura
Juri Misaki
Norifusa Mita
Ryūsuke Mita
Takuya Mitsuda
Suzue Miuchi
Kentaro Miura
Mitsuru Miura
Shirow Miwa
Riko Miyagi
Tomochika Miyano
Kaho Miyasaka
Hayao Miyazaki
Hakase Mizuki
Kyoko Mizuki
Shigeru Mizuki
Eita Mizuno
Hideko Mizuno
Junko Mizuno
Tohko Mizuno
Megumi Mizusawa
Shinji Mizushima
Setona Mizushiro
Jun Mochizuki
Mokona
Takeaki Momose
Hideki Mori
Kaoru Mori
Taishi Mori
George Morikawa
Ai Morinaga
Milk Morinaga
Morishige
Masanori Morita
Daisuke Moriyama
Milk Morizono
Daijiro Morohoshi
Hagio Moto
Kyousuke Motomi
Natsumi Mukai
Kenichi Muraeda
Glen Murakami
Maki Murakami
Motoka Murakami
Range Murata
Yusuke Murata
Wataru Murayama
Mayumi Muroyama
Go Nagai
Mamoru Nagano
Shinji Nagashima
Takeru Nagayoshi
An Nakahara
Aya Nakahara
Masahiko Nakahira
Tsuyoshi Nakaima
Hisaya Nakajo
Hikaru Nakamura
Shungiku Nakamura
Yoshiki Nakamura
Nio Nakatani
Keiji Nakazawa
Shingo Nanami
Kiriko Nananan
Aoi Nanase
Akira Narita
Hanaharu Naruko
Yuri Narushima
Yoshinori Natsume
Tsubaki Nekoi
Nekojiru
